star,0-19,20-29,30-39,40-49,50+
白客,9.58,41.91,29.54,11.73,7.24
白举纲,13.03,44.76,27.72,10.7,3.78
包贝尔,6.31,30.48,33.49,16.57,13.15
保剑锋,5.59,36.67,35.44,13.46,8.84
陈坤,8.43,30.24,33.14,18.48,9.71
陈建斌,5.75,26.79,33.81,20.12,13.54
陈思成,7.86,34.56,39.02,12.33,6.23
陈伟霆,10.7,34.92,37.18,13.42,3.78
陈晓,4.84,20.26,27.52,20.09,27.29
陈学冬,17.09,44.8,23.23,9.61,5.26
邓超,9.67,37.53,32.62,13.89,6.29
郭晓冬,4.73,23.11,32.34,19.14,20.68
韩庚,9.83,38.78,33.15,12.6,5.64
胡歌,7.77,41.28,31.25,11.8,7.89
黄渤,7.09,30.08,34.61,17.58,10.64
黄磊,11.93,41.38,27.84,12.19,6.66
黄轩,10.48,33.71,30.48,15.27,10.07
蒋劲夫,17.49,51.79,22.92,5.81,1.99
孔维,3.77,19.83,26.84,19.36,30.2
刘昊然,15.65,42.68,26.77,10.83,4.06
刘德华,5.68,23.23,41.81,21.8,7.49
刘恺威,10.63,35.81,32.45,13.3,7.81
刘烨,11.27,36.32,29.44,14.49,8.49
罗志祥,14.89,43.92,30.33,8.3,2.57
罗晋,7.48,30.3,32.99,16.26,12.96
马天宇,13.92,37.81,32.71,11.39,4.17
王凯,4.92,21.21,33.68,22.64,17.56
王力宏,13.43,38.37,35.4,9.62,3.17
王珂,8.79,25.18,27.57,18.74,19.71
王鹤棣,10.77,33.63,37.35,14.86,3.39
王雷,5.46,26.93,30.01,19.02,18.59
王学兵,7.29,36.3,31.1,14.83,10.49
王源,23.58,36.5,25.71,10.74,3.47
吴京,8.53,31.34,37.94,15.88,6.31
吴奇隆,7.41,30.99,32.61,17.76,11.23
吴彦祖,14.77,41.67,30.82,10.02,2.72
肖央,9.02,37.7,35.29,13.55,4.44
谢霆锋,7.38,32.04,40.61,14.73,5.23
徐峥,7.64,33.26,35.92,15.29,7.89
杨洋,10.75,34.38,36.27,13.83,4.78
尹相杰,4.5,34.1,34.35,14.63,12.42
张国立,7.39,29.72,29.51,17.14,16.24
张翰,12.71,36.35,31.79,12.91,6.24
张家辉,7.3,35.36,39.53,13.89,3.91
张杰,10.02,39.5,32.18,12.82,5.47
张智霖,5.2,32.19,41.57,16.38,4.66
赵又廷,6.85,31.53,33.36,17.08,11.18
郑凯,4.72,20.76,24.75,16.27,33.51
周杰伦,13.9,38.93,35.68,9.09,2.4
