白客
白举纲
包贝尔
保剑锋
陈坤
陈建斌
陈思成
陈伟霆
陈晓
陈学冬
邓超
郭晓冬
韩庚
胡歌
黄渤
黄磊
黄轩
蒋劲夫
孔维
刘昊然
刘德华
刘恺威
刘烨
罗志祥
罗晋
马天宇
王凯
王力宏
王珂
王鹤棣
王雷
王学兵
王源
吴京
吴奇隆
吴彦祖
肖央
谢霆锋
徐峥
杨洋
尹相杰
张国立
张翰
张家辉
张杰
张智霖
赵又廷
郑凯
周杰伦
