0.245,0.35,0.405
0.245,0.35,0.405
0.245,0.335,0.42
0.16,0.315,0.525
0.245,0.335,0.42
0.245,0.335,0.42
0.16,0.315,0.525
0.35,0.315,0.335
0.435,0.335,0.23
0.175,0.3,0.525
0.405,0.35,0.245
0.175,0.3,0.525
0.245,0.35,0.405
0.51,0.315,0.175
0.42,0.335,0.245
0.23,0.35,0.42
0.245,0.35,0.405
0.16,0.315,0.525
0.175,0.3,0.525
0.525,0.315,0.16
0.315,0.385,0.3
0.315,0.385,0.3
0.23,0.35,0.42
0.3,0.385,0.315
0.26,0.335,0.405
0.245,0.35,0.405
0.54,0.3,0.16
0.405,0.35,0.245
0.175,0.315,0.51
0.245,0.35,0.405
0.245,0.335,0.42
0.16,0.315,0.525
0.42,0.335,0.245
0.525,0.3,0.175
0.245,0.335,0.42
0.23,0.35,0.42
0.16,0.315,0.525
0.315,0.37,0.315
0.23,0.35,0.42
0.525,0.315,0.16
0.175,0.315,0.51
0.175,0.315,0.51
0.3,0.385,0.315
0.16,0.33,0.51
0.42,0.35,0.23
0.245,0.335,0.42
0.245,0.335,0.42
0.19,0.3,0.51
0.51,0.315,0.175
