star,女,男
白客,60.49,39.51
白举纲,64.38,35.62
包贝尔,52.8,47.2
保剑锋,58.78,41.22
陈坤,58.27,41.73
陈建斌,51.74,48.26
陈思成,44.22,55.78
陈伟霆,66.92,33.08
陈晓,65.25,34.75
陈学冬,67.68,32.32
邓超,56.65,43.35
郭晓冬,53.6,46.4
韩庚,61.47,38.53
胡歌,54.3,45.7
黄渤,45.07,54.93
黄磊,55.39,44.61
黄轩,60.16,39.84
蒋劲夫,33.73,66.27
孔维,50.28,49.72
刘昊然,71.11,28.89
刘德华,34.95,65.05
刘恺威,69.64,30.36
刘烨,55.74,44.26
罗志祥,51.9,48.1
罗晋,69.21,30.79
马天宇,66.88,33.12
王凯,66.17,33.83
王力宏,40.16,59.84
王珂,35.1,64.9
王鹤棣,77.13,22.87
王雷,42.55,57.45
王学兵,42.41,57.59
王源,68.25,31.75
吴京,40.32,59.68
吴奇隆,51.93,48.07
吴彦祖,43.75,56.25
肖央,45.4,54.6
谢霆锋,57.21,42.79
徐峥,40.29,59.71
杨洋,71.8,28.2
尹相杰,34.45,65.55
张国立,39.18,60.82
张翰,59.81,40.19
张家辉,36.36,63.64
张杰,62.81,37.19
张智霖,56.32,43.68
赵又廷,55.79,44.21
郑凯,61.21,38.79
周杰伦,46.34,53.66
