刘雨昕,91.99
莫文蔚,93.73
孙燕姿,94.74
张惠妹,93.05
蔡依林,92.5
蔡健雅,94.3
陈粒,94.97
徐佳莹,95.04
张韶涵,93.19
王心凌,92.19
邓紫棋,91.04
王菲,93.22
容祖儿,93.12
梁静茹,93.12
郁可唯,93.83
李宇春,92.49
张靓颖,92.91
刘若英,93.83
林忆莲,93.98
张碧晨,93.25
金玟岐,95.14
阿肆,96.73
刘若英,93.83
杨丞琳,93.08
陈慧娴,92.72
韩红,91.11
杨钰莹,92.04
那英,93.43
齐豫,94.88
萧亚轩,93.72
李玟,94.17
周笔畅,92.9
范玮琪,94.16
by2,94.45
尚雯婕,94.36
谭维维,92.9
田馥甄,92.87
孟美岐,94.01
吴宣仪,94.13
杨超越,92.07
龚琳娜,94.69
李斯丹妮,93.89
刘惜君,93.65
于文文,93.23
袁娅维,94.16
蔡卓妍,91.99
黄绮珊,93.75
辛晓琪,95.04
彭佳慧,93.98
