star,女,男
by2,42.52,57.48
阿肆,43.89,56.11
蔡健雅,41.38,58.62
蔡依林,45.27,54.73
蔡卓妍,45,55
陈慧娴,33.4,66.6
陈粒,55.3,44.7
邓紫棋,45.76,54.24
范玮琪,46.38,53.62
龚琳娜,47.28,52.72
韩红,38.82,61.18
黄绮珊,64.99,35.01
金玟岐,44.42,55.58
李斯丹妮,51.1,48.9
李玟,51.29,48.71
李宇春,61.91,38.09
梁静茹,46.85,53.15
林忆莲,42.83,57.17
刘若英,50.15,49.85
刘惜君,43.1,56.9
刘雨昕,74.3,25.7
孟美岐,45.59,54.41
莫文蔚,52.77,47.23
那英,52.47,47.53
彭佳慧,44.65,55.35
齐豫,44.15,55.85
容祖儿,44.93,55.07
尚雯婕,50.72,49.28
孙燕姿,43.3,56.7
谭维维,42.84,57.16
田馥甄,44.77,55.23
王菲,59.73,40.27
王心凌,49.21,50.79
吴宣仪,49.7,50.3
萧亚轩,43.61,56.39
辛晓琪,35.06,64.94
徐佳莹,46.67,53.33
杨超越,58.81,41.19
杨丞琳,61.77,38.23
杨钰莹,38.96,61.04
于文文,50.57,49.43
郁可唯,44.09,55.91
袁娅维,51.49,48.51
张碧晨,49.78,50.22
张惠妹,43.94,56.06
张靓颖,39.78,60.22
张韶涵,52.1,47.9
周笔畅,57.72,42.28
