star,0-19,20-29,30-39,40-49,50+
by2,15.75,48.45,28.17,6.24,1.39
阿肆,11.28,42.18,34.28,9.71,2.56
蔡健雅,11.59,41,33.9,9.99,3.53
蔡依林,11.16,35.72,39.63,10.62,2.88
蔡卓妍,8.22,34.63,38.51,14.76,3.88
陈慧娴,5.2,22.14,38.76,26.1,7.8
陈粒,10.06,39.31,32.88,12.7,5.05
邓紫棋,13.17,34.42,35.24,13.29,3.88
范玮琪,9.48,36.6,40.55,10.19,3.17
龚琳娜,8.97,30.44,31,18.56,11.03
韩红,6.25,19.68,29.49,23.13,21.45
黄绮珊,9.37,44.71,30.97,10.89,4.06
金玟岐,10.42,43.94,35.05,8.19,2.39
李斯丹妮,7.17,30.05,36.81,17.1,8.87
李玟,5.38,25.41,43.02,19.39,6.81
李宇春,6.56,26.29,34.41,18.13,14.61
梁静茹,9.41,35.06,39.77,11.62,4.14
林忆莲,6.72,28.34,33.54,22.33,9.07
刘若英,5.16,30.43,42.58,16.22,5.61
刘惜君,6.92,35.86,40.26,14.18,2.78
刘雨昕,9.94,24.72,44.46,16,4.89
孟美岐,12.02,37.81,35.52,11.36,3.29
莫文蔚,7.56,32.5,36.75,16.69,6.51
那英,8.93,32.59,28.2,18.17,12.11
彭佳慧,6.16,32.76,38.66,17.2,5.22
齐豫,7.98,31.86,30.28,19.77,10.11
容祖儿,9.39,33.15,32.12,18.13,7.22
尚雯婕,10.99,32.9,28.51,16.47,11.12
孙燕姿,11.69,38.76,37.8,9.39,2.36
谭维维,8.02,30.11,33.9,18.52,9.46
田馥甄,8.43,36.17,41.47,11.07,2.86
王菲,6.3,29.78,39.45,17.61,6.87
王心凌,8.25,34.49,39.46,13.11,4.71
吴宣仪,14.35,36.66,33.37,11.96,3.66
萧亚轩,8.02,32.74,40.44,14.14,4.66
辛晓琪,4.83,23.39,39.59,23.76,8.42
徐佳莹,14.85,44.02,28.85,9.05,3.23
杨超越,10.5,31.18,36.91,15.93,5.47
杨丞琳,10.46,37.2,37.44,11.95,2.96
杨钰莹,4.52,21.71,36.59,23.18,14
于文文,8.45,31.6,38.89,16.41,4.65
郁可唯,4.83,27.8,45.81,16.29,5.27
袁娅维,14.87,44.4,26.6,10.57,3.56
张碧晨,11.01,34.15,35.99,13.72,5.13
张惠妹,11.61,33.27,35.28,15.44,4.4
张靓颖,9.26,33.49,36.58,14.41,6.27
张韶涵,8.75,37.22,36.69,12.81,4.53
周笔畅,8.28,30.8,35.15,16.99,8.78
