by2,28151
阿肆,1406
蔡健雅,5621
蔡依林,15260
蔡卓妍,313474
陈慧娴,1406
陈粒,36314
邓紫棋,57793
范玮琪,427
龚琳娜,9919
韩红,13568
黄绮珊,35452
金玟岐,2367
李斯丹妮,170350
李玟,12527
李宇春,221811
梁静茹,11664
林忆莲,2130
刘若英,17261
刘惜君,21517
刘雨昕,3626386
孟美岐,81641
莫文蔚,11446
那英,109703
彭佳慧,404
齐豫,2413
容祖儿,41249
尚雯婕,2740
孙燕姿,26272
谭维维,30407
田馥甄,9145
王菲,59634
王心凌,102311
吴宣仪,380403
萧亚轩,2615
辛晓琪,123
徐佳莹,3150
杨超越,516909
杨丞琳,55916
杨钰莹,1519
于文文,303089
郁可唯,24434
袁娅维,35306
张碧晨,52589
张惠妹,5296
张靓颖,35312
张韶涵,81640
周笔畅,74347
