白鹿,1209611
迪丽热巴,2271612
高露,121364
高圆圆,50993
巩俐,23344
古力娜扎,29785
关晓彤,373896
郭采洁,17613
韩雪,12294
贾静雯,32401
江疏影,58784
金晨,138661
鞠婧祎,1314237
李嘉欣,3148
李沁,170241
李一桐,475654
林青霞,10541
林志玲,7880
刘浩存,59669
刘诗诗,394575
刘涛,51305
刘亦菲,664532
倪妮,112168
宁静,140588
欧阳娜娜,57844
邱淑贞,2516
舒淇,41721
宋祖儿,214543
汤唯,34383
佟丽娅,41700
王祖贤,5009
文淇,114244
杨幂,1317153
杨颖,216199
杨紫,2919748
杨紫琼,131005
姚晨,61701
虞书欣,1142853
张曼玉,22583
张小斐,84055
张雨绮,162270
张子枫,110766
章子怡,35504
赵今麦,181985
赵丽颖,856015
赵露思,1252342
周冬雨,117454
周迅,111363
周雨彤,312201
