star,女,男
邓超,56.65,43.35
谷爱凌,52.53,47.47
关晓彤,60.15,39.85
郭晶晶,59.95,40.05
华晨宇,57.65,42.35
朗朗,48.43,51.57
李冰冰,47.78,52.22
李现,72.83,27.17
李雪琴,56.55,43.45
李宇春,61.91,38.09
刘诗雯,51.42,48.58
刘翔,38.02,61.98
鹿晗,67.36,32.64
马龙,40.78,59.22
宁泽涛,50.67,49.33
苏炳添,48.26,51.74
孙杨,41.2,58.8
腾格尔,31.67,68.33
王菲,59.73,40.27
王俊凯,70.05,29.95
王凯,66.17,33.83
武大靖,64.41,35.59
武磊,19.4,80.6
肖战,85.88,14.12
谢娜,70.59,29.41
杨紫,78.31,21.69
姚明,25.61,74.39
易建联,26.45,73.55
易烊千玺,68.65,31.35
张艺兴,67.57,32.43
赵丽颖,67.9,32.1
