index,尹相杰
2023-01-22,60
2023-01-23,22
2023-01-24,5
2023-01-25,0
2023-01-26,8
2023-01-27,2
2023-01-28,0
2023-01-29,2
2023-01-30,2
2023-01-31,3
2023-02-01,16
2023-02-02,22
2023-02-03,13
2023-02-04,8
2023-02-05,9
2023-02-06,2
2023-02-07,0
2023-02-08,14
2023-02-09,60
2023-02-10,224
2023-02-11,213
2023-02-12,1038
2023-02-13,85
2023-02-14,31
2023-02-15,12
2023-02-16,9
2023-02-17,28
2023-02-18,107
2023-02-19,6
2023-02-20,40
2023-02-21,6
2023-02-22,152
2023-02-23,15
2023-02-24,4
2023-02-25,8
2023-02-26,5
2023-02-27,17
2023-02-28,11
2023-03-01,7
2023-03-02,5
2023-03-03,5
2023-03-04,0
2023-03-05,25
2023-03-06,6
2023-03-07,6
2023-03-08,3
2023-03-09,2
2023-03-10,477
2023-03-11,6
2023-03-12,14
2023-03-13,11
2023-03-14,5
2023-03-15,9
2023-03-16,2
2023-03-17,5
2023-03-18,0
2023-03-19,7
2023-03-20,3
2023-03-21,27
2023-03-22,2
2023-03-23,14
2023-03-24,82
2023-03-25,30
2023-03-26,104
2023-03-27,8
2023-03-28,0
2023-03-29,4
2023-03-30,4
2023-03-31,2
2023-04-01,34
2023-04-02,10
2023-04-03,3726
2023-04-04,30
2023-04-05,16
2023-04-06,0
2023-04-07,95
2023-04-08,12
2023-04-09,5
2023-04-10,5
2023-04-11,3
2023-04-12,12
2023-04-13,6
2023-04-14,8
2023-04-15,22
2023-04-16,9
2023-04-17,6
2023-04-18,5
2023-04-19,9
2023-04-20,3
2023-04-21,9
2023-04-22,2
