star,女,男
陈梦,48.6,51.4
陈雨菲,35.94,64.06
邓亚萍,43.53,56.47
丁宁,33.92,66.08
伏明霞,51.73,48.27
傅园慧,41.26,58.74
谷爱凌,52.53,47.47
郭晶晶,59.95,40.05
郎平,45.05,54.95
李娜,35.78,64.22
李婷,35.26,64.74
刘诗雯,51.42,48.58
全红婵,63.18,36.82
孙颖莎,65.11,34.89
王曼昱,62.55,37.45
王濛,64.32,35.68
王楠,49.53,50.47
王霜,42.48,57.52
吴敏霞,49.52,50.48
徐梦桃,62.36,37.64
杨倩,54.28,45.72
战鹰,11.59,88.41
张怡宁,48.69,51.31
朱婷,30.25,69.75
