star,0-19,20-29,30-39,40-49,50+
陈梦,6.1,23.39,31.75,19.45,19.31
陈雨菲,8.15,28.24,29.87,21.64,12.1
邓亚萍,9.74,26.85,32.25,18.3,12.86
丁宁,5.26,24.89,38.98,19.1,11.77
伏明霞,1.07,10.14,34.37,33.96,20.46
傅园慧,9.4,37.35,35.02,13.2,5.03
谷爱凌,16.14,34.73,29.89,14.44,4.8
郭晶晶,3.91,17.47,34.24,25.6,18.78
郎平,10.18,26.58,30.32,17.07,15.85
李娜,6.76,22.26,34.29,20.82,15.86
李婷,4.47,18.62,37.52,21.59,17.8
刘诗雯,8.36,27.16,30.13,17.77,16.58
全红婵,9.19,23.84,36.15,21.02,9.81
孙颖莎,4.5,21.17,32.54,23.5,18.29
王曼昱,4.03,19.85,29.22,20.47,26.43
王濛,11.09,32.2,33.94,16.43,6.34
王楠,4.99,22.56,33.03,22.68,16.74
王霜,8.48,26.08,45.78,14.15,5.51
吴敏霞,5.71,26.98,38.45,18.7,10.16
徐梦桃,17.73,27.95,31.25,17.38,5.69
杨倩,20.78,36.18,26.39,13.05,3.61
战鹰,15.75,57.55,20.26,4.51,1.94
张怡宁,6.12,26.38,36.72,19.44,11.34
朱婷,5.63,18.63,36.08,24.31,15.34
