star,女,男
jackeylove,22.68,77.32
meiko,32.86,67.14
uzi,21.13,78.87
谌龙,24.74,75.26
丁俊晖,8.65,91.35
樊振东,48.31,51.69
郭艾伦,33.51,66.49
柯洁,19.02,80.98
林丹,35.79,64.21
刘国梁,29.62,70.38
刘翔,38.02,61.98
吕小军,19.89,80.11
马琳,38.17,61.83
马龙,40.78,59.22
苏炳添,48.26,51.74
苏翊鸣,68.94,31.06
孙继海,12.28,87.72
孙杨,41.2,58.8
田亮,56.3,43.7
汪顺,59.23,40.77
王皓,50.1,49.9
王治郅,17.6,82.4
武大靖,64.41,35.59
武磊,19.4,80.6
姚明,25.61,74.39
易建联,26.45,73.55
周冠宇,23.68,76.32
