star,0-19,20-29,30-39,40-49,50+
jackeylove,18,58.37,18.69,3.76,1.17
meiko,22.56,57.55,13.7,4.6,1.59
uzi,15.09,55.31,23.54,4.91,1.16
谌龙,15.73,38.84,26.72,13.95,4.75
丁俊晖,4.3,19.31,40.03,24.25,12.11
樊振东,7.01,23.45,26.81,21.17,21.55
郭艾伦,10.34,36.16,33.7,12.25,7.54
柯洁,17.1,51.39,18.93,8.82,3.76
林丹,15.89,32.73,31.02,14.92,5.45
刘国梁,4.44,23.75,33,20.94,17.86
刘翔,14.11,31.36,34.66,14.24,5.63
吕小军,10.84,40.67,33.83,11.25,3.42
马琳,8.11,30.34,30.14,16.49,14.92
马龙,9,25.69,27.47,18.6,19.24
苏炳添,17.3,26.24,36.12,16.17,4.17
苏翊鸣,17.02,33.07,29.72,16.13,4.07
孙继海,5.54,21.36,39.81,24.06,9.23
孙杨,12.17,30.93,30.53,14.4,11.97
田亮,9.15,30.48,35.87,15.91,8.58
汪顺,12.97,32.07,27.83,22.17,4.97
王皓,5.34,22.31,33.49,23.99,14.87
王治郅,6.31,29.6,38.64,16.79,8.66
武大靖,12.87,35.45,30.61,15.84,5.23
武磊,15.19,36.87,30.83,13.32,3.79
姚明,5.43,21.17,38.44,21.57,13.39
易建联,8.27,34.3,34.29,13.71,9.43
周冠宇,10.54,36.41,36.11,12.25,4.7
